lat,lng,country
5.55,95.32,Indonesia
23.1904,75.79,India
-24.7834,-65.4166,Argentina
53.18,45,Russia
36.4203,2.83,Algeria
46.9677,31.9843,Ukraine
32.6149,44.0245,Iraq
30.005,32.5499,Egypt
50.3304,18.67,Poland
-0.3031,100.3615,Indonesia
42.9,125.13,China
6.12,102.23,Malaysia
-23.2,-46.88,Brazil
55.9483,-3.2191,United Kingdom
19.32,-98.23,Mexico
40.2458,-111.6457,United States
34.0804,49.7,Iran
14.47,75.92,India
-33.03,-71.54,Chile
22.6817,120.4817,Taiwan
36.92,7.76,Algeria
20.71,77.01,India
50.8303,-0.17,United Kingdom
46.3487,48.055,Russia
53.8,-1.75,United Kingdom
41.1142,16.8728,Italy
29.0171,-110.1333,Mexico
6.2104,7.07,Nigeria
-25.34,-57.52,Paraguay
24.9889,121.3111,Taiwan
23.4755,120.4351,Taiwan
25.1333,121.7333,Taiwan
21.6,105.83,Vietnam
46.6704,131.35,China
28.09,30.75,Egypt
31.0504,30.47,Egypt
-7.6296,112.9,Indonesia
34.7171,136.5167,Japan
-8.5795,116.135,Indonesia
0.033,-51.05,Brazil
42.2705,-71.8079,United States
26.08,-98.3,Mexico
39.0618,66.8315,Uzbekistan
33.4017,-111.7181,United States
33.5833,36.4,Syria
42,21.4335,Macedonia
-2.52,32.93,Tanzania
37.928,102.641,China
27.9861,-80.6628,United States
19.6158,37.2164,Sudan
-31.6239,-60.69,Argentina
54.2,37.6299,Russia
29.0804,31.09,Egypt
42.8823,129.5128,China
41.6639,-83.5822,United States
44.5004,11.34,Italy
29.97,77.55,India
33.5719,-117.1909,United States
17.35,76.82,India
22.8504,88.52,India
37.6897,-97.3442,United States
7.4804,4.56,Nigeria
-12.25,-38.97,Brazil
3.0667,101.55,Malaysia
47.0962,37.5562,Ukraine
41.5725,-93.6104,United States
16.75,-93.15,Mexico
34.33,62.17,Afghanistan
52.43,31,Belarus
23.0504,112.45,China
-22.7499,-47.33,Brazil
20.9,74.77,India
49.8304,18.25,Czechia
31.9201,54.37,Iran
32.52,74.56,Pakistan
55.34,86.09,Russia
8.55,39.27,Ethiopia
40.5834,-74.1496,United States
28.6804,121.45,China
41.5504,120.42,China
-21.77,-43.375,Brazil
24.6,73.73,India
33.8059,-118.161,United States
34.8363,-82.365,United States
40.776,29.9306,Turkey
37.95,23.7,Greece
42.32,69.595,Kazakhstan
8.1712,124.2154,Philippines
36.27,50,Iran
-29.12,26.2299,South Africa
